Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
3322: S00        S01        S02        S07,0      S11,0      S07,10     S12,0      S07        S11,10     S12,10     S07,1      S11        S12        S11,1      S12,1     
5322: S00,1      S01,1      S02,1      S07,00     S11,00     S07,0      S12,00     S07,0      S11,0      S12,0      S07        S11,0      S12,0      S11        S12       
0522: S13,001    S10,001    S10,1001   S01,001    S00,001    S01,01     S00,1001   S01,1001   S00,01     S00,101    S01,101    S00,1001   S00,11001  S00,101    S00,1101  
1522: S14,001    S10,0001   S10,001    S02,001    S00,0001   S02,01     S00,001    S02,1001   S00,001    S00,01     S02,101    S00,10001  S00,1001   S00,1001   S00,101   
2522: S10,01     S13,01     S14,01     S00,0001   S01,0001   S00,001    S02,0001   S00,001    S01,001    S02,001    S00,01     S01,001    S02,001    S01,01     S02,01    
3522: S00,0      S01,0      S02,0      S10,0      S13,0      S10,10     S14,0      S10        S13,10     S14,10     S10,1      S13        S14        S13,1      S14,1     
5522: S00        S01        S02        S10,00     S13,00     S10,0      S14,00     S10,0      S13,0      S14,0      S10        S13,0      S14,0      S13        S14       
0032: S07,10     S11,10     S11,110    S00,100    S01,100    S00,1100   S01,1100   S00,1100   S01,1100   S01,11100  S00,11100  S01,1100   S01,11100  S01,11100  S01,111100
1032: S07,110    S11,010    S11,10     S00,1100   S01,0100   S00,11100  S01,100    S00,11100  S01,01100  S01,1100   S00,111100 S01,10100  S01,1100   S01,101100 S01,11100 
2032: S11,110    S07,110    S07,1110   S01,0100   S00,0100   S01,01100  S00,01100  S01,100    S00,01100  S00,011100 S01,1100   S00,100    S00,1100   S00,1100   S00,11100 
3032: S01,110    S00,110    S00,1110   S11,11     S07,11     S11,111    S07,111    S11,111    S07,111    S07,1111   S11,1111   S07,111    S07,1111   S07,1111   S07,11111 
5032: S01,1110   S00,1110   S00,11110  S11,011    S07,011    S11,11     S07,0111   S11,0111   S07,11     S07,111    S11,111    S07,0111   S07,01111  S07,111    S07,1111  
0132: S07,010    S12,10     S12,110    S00,0100   S02,100    S00,01100  S02,1100   S00,10100  S02,1100   S02,11100  S00,101100 S02,1100   S02,11100  S02,11100  S02,111100
1132: S07,10     S12,010    S12,10     S00,100    S02,0100   S00,1100   S02,100    S00,1100   S02,01100  S02,1100   S00,11100  S02,10100  S02,1100   S02,101100 S02,11100 
2132: S12,110    S07,1010   S07,110    S02,0100   S00,00100  S02,01100  S00,0100   S02,100    S00,001100 S00,01100  S02,1100   S00,0100   S00,100    S00,01100  S00,1100  
3132: S02,110    S00,1010   S00,110    S12,11     S07,101    S12,111    S07,11     S12,111    S07,1101   S07,111    S12,1111   S07,1101   S07,111    S07,11101  S07,1111  
5132: S02,1110   S00,10110  S00,1110   S12,011    S07,0101   S12,11     S07,011    S12,0111   S07,101    S07,11     S12,111    S07,01101  S07,0111   S07,1101   S07,111   
0232: S11,010    S07,010    S07,1010   S01,10     S00,10     S01,110    S00,110    S01,110    S00,110    S00,1110   S01,1110   S00,110    S00,1110   S00,1110   S00,11110 
1232: S12,010    S07,0010   S07,010    S02,10     S00,010    S02,110    S00,10     S02,110    S00,0110   S00,110    S02,1110   S00,1010   S00,110    S00,10110  S00,1110  
2232: S07,10     S11,10     S12,10     S00,010    S01,010    S00,0110   S02,010    S00,10     S01,0110   S02,0110   S00,110    S01,10     S02,10     S01,110    S02,110   
3232: S00,11     S01,11     S02,11     S07,101    S11,101    S07,1101   S12,101    S07,11     S11,1101   S12,1101   S07,111    S11,11     S12,11     S11,111    S12,111   
5232: S00,111    S01,111    S02,111    S07,0101   S11,0101   S07,101    S12,0101   S07,011    S11,101    S12,101    S07,11     S11,011    S12,011    S11,11     S12,11    
0332: S01,010    S00,010    S00,1010   S11,01     S07,01     S11,011    S07,101    S11,101    S07,011    S07,1011   S11,1011   S07,101    S07,1101   S07,1011   S07,11011 
1332: S02,010    S00,0010   S00,010    S12,01     S07,001    S12,011    S07,01     S12,101    S07,0011   S07,011    S12,1011   S07,1001   S07,101    S07,10011  S07,1011  
2332: S00,01     S01,01     S02,01     S07,001    S11,001    S07,0011   S12,001    S07,01     S11,0011   S12,0011   S07,011    S11,01     S12,01     S11,011    S12,011   
3332: S07,10     S11,10     S12,10     S00,100    S01,100    S00,1100   S02,100    S00,10     S01,1100   S02,1100   S00,110    S01,10     S02,10     S01,110    S02,110   
5332: S07,110    S11,110    S12,110    S00,0100   S01,0100   S00,100    S02,0100   S00,010    S01,100    S02,100    S00,10     S01,010    S02,010    S01,10     S02,10    
0532: S01,0110   S00,0110   S00,10110  S11,001    S07,001    S11,01     S07,1001   S11,1001   S07,01     S07,101    S11,101    S07,1001   S07,11001  S07,101    S07,1101  
1532: S02,0110   S00,00110  S00,0110   S12,001    S07,0001   S12,01     S07,001    S12,1001   S07,001    S07,01     S12,101    S07,10001  S07,1001   S07,1001   S07,101   
2532: S00,011    S01,011    S02,011    S07,0001   S11,0001   S07,001    S12,0001   S07,001    S11,001    S12,001    S07,01     S11,001    S12,001    S11,01     S12,01    
3532: S07,010    S11,010    S12,010    S00,1100   S01,1100   S00,11100  S02,1100   S00,110    S01,11100  S02,11100  S00,1110   S01,110    S02,110    S01,1110   S02,1110  
5532: S07,10     S11,10     S12,10     S00,01100  S01,01100  S00,1100   S02,01100  S00,0110   S01,1100   S02,1100   S00,110    S01,0110   S02,0110   S01,110    S02,110   
0052: S10,10     S13,10     S13,110    S00,0100   S01,0100   S00,100    S01,10100  S00,10100  S01,100    S01,1100   S00,1100   S01,10100  S01,110100 S01,1100   S01,11100 
1052: S10,110    S13,010    S13,10     S00,10100  S01,00100  S00,1100   S01,0100   S00,110100 S01,0100   S01,100    S00,11100  S01,100100 S01,10100  S01,10100  S01,1100  
2052: S13,110    S10,110    S10,1110   S01,00100  S00,00100  S01,0100   S00,010100 S01,0100   S00,0100   S00,01100  S01,100    S00,0100   S00,10100  S00,100    S00,1100  
3052: S01,1010   S00,1010   S00,11010  S13,11     S10,11     S13,111    S10,111    S13,111    S10,111    S10,1111   S13,1111   S10,111    S10,1111   S10,1111   S10,11111 
5052: S01,110    S00,110    S00,1110   S13,011    S10,011    S13,11     S10,0111   S13,0111   S10,11     S10,111    S13,111    S10,0111   S10,01111  S10,111    S10,1111  
0152: S10,010    S14,10     S14,110    S00,00100  S02,0100   S00,0100   S02,10100  S00,100100 S02,100    S02,1100   S00,10100  S02,10100  S02,110100 S02,1100   S02,11100 
1152: S10,10     S14,010    S14,10     S00,0100   S02,00100  S00,100    S02,0100   S00,10100  S02,0100   S02,100    S00,1100   S02,100100 S02,10100  S02,10100  S02,1100  
2152: S14,110    S10,1010   S10,110    S02,00100  S00,000100 S02,0100   S00,00100  S02,0100   S00,00100  S00,0100   S02,100    S00,00100  S00,0100   S00,0100   S00,100   
3152: S02,1010   S00,10010  S00,1010   S14,11     S10,101    S14,111    S10,11     S14,111    S10,1101   S10,111    S14,1111   S10,1101   S10,111    S10,11101  S10,1111  
5152: S02,110    S00,1010   S00,110    S14,011    S10,0101   S14,11     S10,011    S14,0111   S10,101    S10,11     S14,111    S10,01101  S10,0111   S10,1101   S10,111   
0252: S13,010    S10,010    S10,1010   S01,010    S00,010    S01,10     S00,1010   S01,1010   S00,10     S00,110    S01,110    S00,1010   S00,11010  S00,110    S00,1110  
1252: S14,010    S10,0010   S10,010    S02,010    S00,0010   S02,10     S00,010    S02,1010   S00,010    S00,10     S02,110    S00,10010  S00,1010   S00,1010   S00,110   
2252: S10,10     S13,10     S14,10     S00,0010   S01,0010   S00,010    S02,0010   S00,010    S01,010    S02,010    S00,10     S01,010    S02,010    S01,10     S02,10    
3252: S00,101    S01,101    S02,101    S10,101    S13,101    S10,1101   S14,101    S10,11     S13,1101   S14,1101   S10,111    S13,11     S14,11     S13,111    S14,111   
5252: S00,11     S01,11     S02,11     S10,0101   S13,0101   S10,101    S14,0101   S10,011    S13,101    S14,101    S10,11     S13,011    S14,011    S13,11     S14,11    
0352: S01,0010   S00,0010   S00,10010  S13,01     S10,01     S13,011    S10,101    S13,101    S10,011    S10,1011   S13,1011   S10,101    S10,1101   S10,1011   S10,11011 
1352: S02,0010   S00,00010  S00,0010   S14,01     S10,001    S14,011    S10,01     S14,101    S10,0011   S10,011    S14,1011   S10,1001   S10,101    S10,10011  S10,1011  
2352: S00,001    S01,001    S02,001    S10,001    S13,001    S10,0011   S14,001    S10,01     S13,0011   S14,0011   S10,011    S13,01     S14,01     S13,011    S14,011   
3352: S10,10     S13,10     S14,10     S00,0100   S01,0100   S00,10100  S02,0100   S00,010    S01,10100  S02,10100  S00,1010   S01,010    S02,010    S01,1010   S02,1010  
5352: S10,110    S13,110    S14,110    S00,00100  S01,00100  S00,0100   S02,00100  S00,0010   S01,0100   S02,0100   S00,010    S01,0010   S02,0010   S01,010    S02,010   
0552: S01,010    S00,010    S00,1010   S13,001    S10,001    S13,01     S10,1001   S13,1001   S10,01     S10,101    S13,101    S10,1001   S10,11001  S10,101    S10,1101  
1552: S02,010    S00,0010   S00,010    S14,001    S10,0001   S14,01     S10,001    S14,1001   S10,001    S10,01     S14,101    S10,10001  S10,1001   S10,1001   S10,101   
2552: S00,01     S01,01     S02,01     S10,0001   S13,0001   S10,001    S14,0001   S10,001    S13,001    S14,001    S10,01     S13,001    S14,001    S13,01     S14,01    
3552: S10,010    S13,010    S14,010    S00,100    S01,100    S00,1100   S02,100    S00,10     S01,1100   S02,1100   S00,110    S01,10     S02,10     S01,110    S02,110   
5552: S10,10     S13,10     S14,10     S00,0100   S01,0100   S00,100    S02,0100   S00,010    S01,100    S02,100    S00,10     S01,010    S02,010    S01,10     S02,10    
0003: S04,00     S03,00     S03,100    S01,00     S00,00     S01,001    S00,100    S01,100    S00,001    S00,1001   S01,1001   S00,100    S00,1100   S00,1001   S00,11001 
1003: S04,100    S03,000    S03,00     S01,100    S00,000    S01,1001   S00,00     S01,1100   S00,0001   S00,001    S01,11001  S00,1000   S00,100    S00,10001  S00,1001  
2003: S03,100    S04,100    S04,1100   S00,000    S01,000    S00,0001   S01,0100   S00,00     S01,0001   S01,01001  S00,001    S01,00     S01,100    S01,001    S01,1001  
3003: S00,10     S01,10     S01,110    S03,10     S04,10     S03,110    S04,110    S03,110    S04,110    S04,1110   S03,1110   S04,110    S04,1110   S04,1110   S04,11110 
5003: S00,101    S01,101    S01,1101   S03,010    S04,010    S03,10     S04,0110   S03,0110   S04,10     S04,110    S03,110    S04,0110   S04,01110  S04,110    S04,1110  
0103: S04,000    S03,100    S03,1100   S01,000    S00,100    S01,0001   S00,1100   S01,1000   S00,1001   S00,11001  S01,10001  S00,1100   S00,11100  S00,11001  S00,111001
1103: S04,00     S03,0100   S03,100    S01,00     S00,0100   S01,001    S00,100    S01,100    S00,01001  S00,1001   S01,1001   S00,10100  S00,1100   S00,101001 S00,11001 
2103: S03,1100   S04,1000   S04,100    S00,0100   S01,0000   S00,01001  S01,000    S00,100    S01,00001  S01,0001   S00,1001   S01,000    S01,00     S01,0001   S01,001   
3103: S00,110    S01,100    S01,10     S03,110    S04,100    S03,1110   S04,10     S03,1110   S04,1100   S04,110    S03,11110  S04,1100   S04,110    S04,11100  S04,1110  
5103: S00,1101   S01,1001   S01,101    S03,0110   S04,0100   S03,110    S04,010    S03,01110  S04,100    S04,10     S03,1110   S04,01100  S04,0110   S04,1100   S04,110   
0203: S03,000    S04,000    S04,1000   S00,100    S01,100    S00,1001   S01,1100   S00,1100   S01,1001   S01,11001  S00,11001  S01,1100   S01,11100  S01,11001  S01,111001
1203: S03,0100   S04,0000   S04,000    S00,1100   S01,0100   S00,11001  S01,100    S00,11100  S01,01001  S01,1001   S00,111001 S01,10100  S01,1100   S01,101001 S01,11001 
2203: S04,00     S03,00     S03,100    S01,0100   S00,0100   S01,01001  S00,01100  S01,100    S00,01001  S00,011001 S01,1001   S00,100    S00,1100   S00,1001   S00,11001 
3203: S01,110    S00,110    S00,1110   S04,100    S03,100    S04,1100   S03,1010   S04,10     S03,1100   S03,11010  S04,110    S03,10     S03,110    S03,110    S03,1110  
5203: S01,1101   S00,1101   S00,11101  S04,0100   S03,0100   S04,100    S03,01010  S04,010    S03,100    S03,1010   S04,10     S03,010    S03,0110   S03,10     S03,110   
0303: S00,00     S01,00     S01,100    S03,00     S04,00     S03,010    S04,100    S03,100    S04,010    S04,1010   S03,1010   S04,100    S04,1100   S04,1010   S04,11010 
1303: S00,010    S01,000    S01,00     S03,010    S04,000    S03,0110   S04,00     S03,1010   S04,0010   S04,010    S03,10110  S04,1000   S04,100    S04,10010  S04,1010  
2303: S01,010    S00,010    S00,0110   S04,000    S03,000    S04,0010   S03,0010   S04,00     S03,0010   S03,00110  S04,010    S03,00     S03,010    S03,010    S03,0110  
3303: S04,00     S03,00     S03,100    S01,00     S00,00     S01,100    S00,100    S01,100    S00,100    S00,1100   S01,1100   S00,100    S00,1100   S00,1100   S00,11100 
5303: S04,100    S03,100    S03,1100   S01,000    S00,000    S01,00     S00,0100   S01,0100   S00,00     S00,100    S01,100    S00,0100   S00,01100  S00,100    S00,1100  
0503: S00,001    S01,001    S01,1001   S03,000    S04,000    S03,00     S04,1000   S03,1000   S04,00     S04,100    S03,100    S04,1000   S04,11000  S04,100    S04,1100  
1503: S00,0101   S01,0001   S01,001    S03,0010   S04,0000   S03,010    S04,000    S03,10010  S04,000    S04,00     S03,1010   S04,10000  S04,1000   S04,1000   S04,100   
2503: S01,0101   S00,0101   S00,01101  S04,0000   S03,0000   S04,000    S03,00010  S04,000    S03,000    S03,0010   S04,00     S03,000    S03,0010   S03,00     S03,010   
3503: S04,000    S03,000    S03,0100   S01,001    S00,001    S01,1001   S00,1001   S01,1001   S00,1001   S00,11001  S01,11001  S00,1001   S00,11001  S00,11001  S00,111001
5503: S04,00     S03,00     S03,100    S01,0001   S00,0001   S01,001    S00,01001  S01,01001  S00,001    S00,1001   S01,1001   S00,01001  S00,011001 S00,1001   S00,11001 
0013: S06,00     S03,000    S03,1000   S02,00     S00,000    S02,001    S00,1000   S02,100    S00,0001   S00,10001  S02,1001   S00,1000   S00,11000  S00,10001  S00,110001
1013: S06,100    S03,0000   S03,000    S02,100    S00,0000   S02,1001   S00,000    S02,1100   S00,00001  S00,0001   S02,11001  S00,10000  S00,1000   S00,100001 S00,10001 
2013: S03,1000   S06,100    S06,1100   S00,0000   S02,000    S00,00001  S02,0100   S00,000    S02,0001   S02,01001  S00,0001   S02,00     S02,100    S02,001    S02,1001  
3013: S00,100    S02,10     S02,110    S03,100    S06,10     S03,1100   S06,110    S03,1100   S06,110    S06,1110   S03,11100  S06,110    S06,1110   S06,1110   S06,11110 
5013: S00,1001   S02,101    S02,1101   S03,0100   S06,010    S03,100    S06,0110   S03,01100  S06,10     S06,110    S03,1100   S06,0110   S06,01110  S06,110    S06,1110  
0113: S06,000    S03,00     S03,100    S02,000    S00,00     S02,0001   S00,100    S02,1000   S00,001    S00,1001   S02,10001  S00,100    S00,1100   S00,1001   S00,11001 
1113: S06,00     S03,000    S03,00     S02,00     S00,000    S02,001    S00,00     S02,100    S00,0001   S00,001    S02,1001   S00,1000   S00,100    S00,10001  S00,1001  
2113: S03,100    S06,1000   S06,100    S00,000    S02,0000   S00,0001   S02,000    S00,00     S02,00001  S02,0001   S00,001    S02,000    S02,00     S02,0001   S02,001   
3113: S00,10     S02,100    S02,10     S03,10     S06,100    S03,110    S06,10     S03,110    S06,1100   S06,110    S03,1110   S06,1100   S06,110    S06,11100  S06,1110  
5113: S00,101    S02,1001   S02,101    S03,010    S06,0100   S03,10     S06,010    S03,0110   S06,100    S06,10     S03,110    S06,01100  S06,0110   S06,1100   S06,110   
0213: S03,0000   S06,000    S06,1000   S00,1000   S02,100    S00,10001  S02,1100   S00,11000  S02,1001   S02,11001  S00,110001 S02,1100   S02,11100  S02,11001  S02,111001
1213: S03,000    S06,0000   S06,000    S00,100    S02,0100   S00,1001   S02,100    S00,1100   S02,01001  S02,1001   S00,11001  S02,10100  S02,1100   S02,101001 S02,11001 
2213: S06,00     S03,000    S03,00     S02,0100   S00,01000  S02,01001  S00,0100   S02,100    S00,010001 S00,01001  S02,1001   S00,1000   S00,100    S00,10001  S00,1001  
3213: S02,110    S00,1100   S00,110    S06,100    S03,1000   S06,1100   S03,100    S06,10     S03,11000  S03,1100   S06,110    S03,100    S03,10     S03,1100   S03,110   
5213: S02,1101   S00,11001  S00,1101   S06,0100   S03,01000  S06,100    S03,0100   S06,010    S03,1000   S03,100    S06,10     S03,0100   S03,010    S03,100    S03,10    
0313: S00,000    S02,00     S02,100    S03,000    S06,00     S03,0100   S06,100    S03,1000   S06,010    S06,1010   S03,10100  S06,100    S06,1100   S06,1010   S06,11010 
1313: S00,00     S02,000    S02,00     S03,00     S06,000    S03,010    S06,00     S03,100    S06,0010   S06,010    S03,1010   S06,1000   S06,100    S06,10010  S06,1010  
2313: S02,010    S00,0100   S00,010    S06,000    S03,0000   S06,0010   S03,000    S06,00     S03,00100  S03,0010   S06,010    S03,000    S03,00     S03,0100   S03,010   
3313: S06,00     S03,000    S03,00     S02,00     S00,000    S02,100    S00,00     S02,100    S00,1000   S00,100    S02,1100   S00,1000   S00,100    S00,11000  S00,1100  
5313: S06,100    S03,1000   S03,100    S02,000    S00,0000   S02,00     S00,000    S02,0100   S00,000    S00,00     S02,100    S00,01000  S00,0100   S00,1000   S00,100   
0513: S00,0001   S02,001    S02,1001   S03,0000   S06,000    S03,000    S06,1000   S03,10000  S06,00     S06,100    S03,1000   S06,1000   S06,11000  S06,100    S06,1100  
1513: S00,001    S02,0001   S02,001    S03,000    S06,0000   S03,00     S06,000    S03,1000   S06,000    S06,00     S03,100    S06,10000  S06,1000   S06,1000   S06,100   
2513: S02,0101   S00,01001  S00,0101   S06,0000   S03,00000  S06,000    S03,0000   S06,000    S03,0000   S03,000    S06,00     S03,0000   S03,000    S03,000    S03,00    
3513: S06,000    S03,0000   S03,000    S02,001    S00,0001   S02,1001   S00,001    S02,1001   S00,10001  S00,1001   S02,11001  S00,10001  S00,1001   S00,110001 S00,11001 
5513: S06,00     S03,000    S03,00     S02,0001   S00,00001  S02,001    S00,0001   S02,01001  S00,0001   S00,001    S02,1001   S00,010001 S00,01001  S00,10001  S00,1001  
0023: S07,00     S11,00     S11,100    S00,000    S01,000    S00,0001   S01,1000   S00,1000   S01,0001   S01,10001  S00,10001  S01,1000   S01,11000  S01,10001  S01,110001
1023: S07,100    S11,000    S11,00     S00,1000   S01,0000   S00,10001  S01,000    S00,11000  S01,00001  S01,0001   S00,110001 S01,10000  S01,1000   S01,100001 S01,10001 
2023: S11,100    S07,100    S07,1100   S01,0000   S00,0000   S01,00001  S00,01000  S01,000    S00,00001  S00,010001 S01,0001   S00,000    S00,1000   S00,0001   S00,10001 
3023: S01,100    S00,100    S00,1100   S11,10     S07,10     S11,110    S07,110    S11,110    S07,110    S07,1110   S11,1110   S07,110    S07,1110   S07,1110   S07,11110 
5023: S01,1001   S00,1001   S00,11001  S11,010    S07,010    S11,10     S07,0110   S11,0110   S07,10     S07,110    S11,110    S07,0110   S07,01110  S07,110    S07,1110  
0123: S07,000    S12,00     S12,100    S00,0000   S02,000    S00,00001  S02,1000   S00,10000  S02,0001   S02,10001  S00,100001 S02,1000   S02,11000  S02,10001  S02,110001
1123: S07,00     S12,000    S12,00     S00,000    S02,0000   S00,0001   S02,000    S00,1000   S02,00001  S02,0001   S00,10001  S02,10000  S02,1000   S02,100001 S02,10001 
2123: S12,100    S07,1000   S07,100    S02,0000   S00,00000  S02,00001  S00,0000   S02,000    S00,000001 S00,00001  S02,0001   S00,0000   S00,000    S00,00001  S00,0001  
3123: S02,100    S00,1000   S00,100    S12,10     S07,100    S12,110    S07,10     S12,110    S07,1100   S07,110    S12,1110   S07,1100   S07,110    S07,11100  S07,1110  
5123: S02,1001   S00,10001  S00,1001   S12,010    S07,0100   S12,10     S07,010    S12,0110   S07,100    S07,10     S12,110    S07,01100  S07,0110   S07,1100   S07,110   
0223: S11,000    S07,000    S07,1000   S01,00     S00,00     S01,001    S00,100    S01,100    S00,001    S00,1001   S01,1001   S00,100    S00,1100   S00,1001   S00,11001 
1223: S12,000    S07,0000   S07,000    S02,00     S00,000    S02,001    S00,00     S02,100    S00,0001   S00,001    S02,1001   S00,1000   S00,100    S00,10001  S00,1001  
2223: S07,00     S11,00     S12,00     S00,000    S01,000    S00,0001   S02,000    S00,00     S01,0001   S02,0001   S00,001    S01,00     S02,00     S01,001    S02,001   
3223: S00,10     S01,10     S02,10     S07,100    S11,100    S07,1100   S12,100    S07,10     S11,1100   S12,1100   S07,110    S11,10     S12,10     S11,110    S12,110   
5223: S00,101    S01,101    S02,101    S07,0100   S11,0100   S07,100    S12,0100   S07,010    S11,100    S12,100    S07,10     S11,010    S12,010    S11,10     S12,10    
0323: S01,000    S00,000    S00,1000   S11,00     S07,00     S11,010    S07,100    S11,100    S07,010    S07,1010   S11,1010   S07,100    S07,1100   S07,1010   S07,11010 
1323: S02,000    S00,0000   S00,000    S12,00     S07,000    S12,010    S07,00     S12,100    S07,0010   S07,010    S12,1010   S07,1000   S07,100    S07,10010  S07,1010  
2323: S00,00     S01,00     S02,00     S07,000    S11,000    S07,0010   S12,000    S07,00     S11,0010   S12,0010   S07,010    S11,00     S12,00     S11,010    S12,010   
3323: S07,00     S11,00     S12,00     S00,000    S01,000    S00,1000   S02,000    S00,00     S01,1000   S02,1000   S00,100    S01,00     S02,00     S01,100    S02,100   
5323: S07,100    S11,100    S12,100    S00,0000   S01,0000   S00,000    S02,0000   S00,000    S01,000    S02,000    S00,00     S01,000    S02,000    S01,00     S02,00    
0523: S01,0001   S00,0001   S00,10001  S11,000    S07,000    S11,00     S07,1000   S11,1000   S07,00     S07,100    S11,100    S07,1000   S07,11000  S07,100    S07,1100  
1523: S02,0001   S00,00001  S00,0001   S12,000    S07,0000   S12,00     S07,000    S12,1000   S07,000    S07,00     S12,100    S07,10000  S07,1000   S07,1000   S07,100   
2523: S00,001    S01,001    S02,001    S07,0000   S11,0000   S07,000    S12,0000   S07,000    S11,000    S12,000    S07,00     S11,000    S12,000    S11,00     S12,00    
3523: S07,000    S11,000    S12,000    S00,0001   S01,0001   S00,10001  S02,0001   S00,001    S01,10001  S02,10001  S00,1001   S01,001    S02,001    S01,1001   S02,1001  
5523: S07,00     S11,00     S12,00     S00,00001  S01,00001  S00,0001   S02,00001  S00,0001   S01,0001   S02,0001   S00,001    S01,0001   S02,0001   S01,001    S02,001   
0033: S00        S01        S01,1      S03        S04        S03,1      S04,1      S03,1      S04,1      S04,11     S03,11     S04,1      S04,11     S04,11     S04,111   
1033: S00,1      S01,0      S01        S03,1      S04,0      S03,11     S04        S03,11     S04,01     S04,1      S03,111    S04,10     S04,1      S04,101    S04,11    
2033: S01,1      S00,1      S00,11     S04,0      S03,0      S04,01     S03,01     S04        S03,01     S03,011    S04,1      S03        S03,1      S03,1      S03,11    
3033: S04,11     S03,11     S03,111    S01,11     S00,11     S01,111    S00,111    S01,111    S00,111    S00,1111   S01,1111   S00,111    S00,1111   S00,1111   S00,11111 
5033: S04,111    S03,111    S03,1111   S01,011    S00,011    S01,11     S00,0111   S01,0111   S00,11     S00,111    S01,111    S00,0111   S00,01111  S00,111    S00,1111  
0133: S00,0      S02        S02,1      S03,0      S06        S03,01     S06,1      S03,10     S06,1      S06,11     S03,101    S06,1      S06,11     S06,11     S06,111   
1133: S00        S02,0      S02        S03        S06,0      S03,1      S06        S03,1      S06,01     S06,1      S03,11     S06,10     S06,1      S06,101    S06,11    
2133: S02,1      S00,10     S00,1      S06,0      S03,00     S06,01     S03,0      S06        S03,001    S03,01     S06,1      S03,0      S03        S03,01     S03,1     
3133: S06,11     S03,101    S03,11     S02,11     S00,101    S02,111    S00,11     S02,111    S00,1101   S00,111    S02,1111   S00,1101   S00,111    S00,11101  S00,1111  
5133: S06,111    S03,1011   S03,111    S02,011    S00,0101   S02,11     S00,011    S02,0111   S00,101    S00,11     S02,111    S00,01101  S00,0111   S00,1101   S00,111   
0233: S01,0      S00,0      S00,10     S11        S07        S11,1      S07,1      S11,1      S07,1      S07,11     S11,11     S07,1      S07,11     S07,11     S07,111   
1233: S02,0      S00,00     S00,0      S12        S07,0      S12,1      S07        S12,1      S07,01     S07,1      S12,11     S07,10     S07,1      S07,101    S07,11    
2233: S00        S01        S02        S07,0      S11,0      S07,01     S12,0      S07        S11,01     S12,01     S07,1      S11        S12        S11,1      S12,1     
3233: S07,11     S11,11     S12,11     S00,101    S01,101    S00,1101   S02,101    S00,11     S01,1101   S02,1101   S00,111    S01,11     S02,11     S01,111    S02,111   
5233: S07,111    S11,111    S12,111    S00,0101   S01,0101   S00,101    S02,0101   S00,011    S01,101    S02,101    S00,11     S01,011    S02,011    S01,11     S02,11    
0333: S04,01     S03,01     S03,101    S01,01     S00,01     S01,011    S00,101    S01,101    S00,011    S00,1011   S01,1011   S00,101    S00,1101   S00,1011   S00,11011 
1333: S06,01     S03,001    S03,01     S02,01     S00,001    S02,011    S00,01     S02,101    S00,0011   S00,011    S02,1011   S00,1001   S00,101    S00,10011  S00,1011  
2333: S07,01     S11,01     S12,01     S00,001    S01,001    S00,0011   S02,001    S00,01     S01,0011   S02,0011   S00,011    S01,01     S02,01     S01,011    S02,011   
3333: S00        S01        S02        S03        S04        S03,1      S06        S07        S04,1      S06,1      S07,1      S11        S12        S11,1      S12,1     
5333: S00,1      S01,1      S02,1      S03,0      S04,0      S03        S06,0      S07,0      S04        S06        S07        S11,0      S12,0      S11        S12       
0533: S04,011    S03,011    S03,1011   S01,001    S00,001    S01,01     S00,1001   S01,1001   S00,01     S00,101    S01,101    S00,1001   S00,11001  S00,101    S00,1101  
1533: S06,011    S03,0011   S03,011    S02,001    S00,0001   S02,01     S00,001    S02,1001   S00,001    S00,01     S02,101    S00,10001  S00,1001   S00,1001   S00,101   
2533: S07,011    S11,011    S12,011    S00,0001   S01,0001   S00,001    S02,0001   S00,001    S01,001    S02,001    S00,01     S01,001    S02,001    S01,01     S02,01    
3533: S00,0      S01,0      S02,0      S03,1      S04,1      S03,11     S06,1      S07,1      S04,11     S06,11     S07,11     S11,1      S12,1      S11,11     S12,11    
5533: S00        S01        S02        S03,01     S04,01     S03,1      S06,01     S07,01     S04,1      S06,1      S07,1      S11,01     S12,01     S11,1      S12,1     
0053: S00,1      S01,1      S01,11     S03,0      S04,0      S03        S04,10     S03,10     S04        S04,1      S03,1      S04,10     S04,110    S04,1      S04,11    
1053: S00,11     S01,01     S01,1      S03,10     S04,00     S03,1      S04,0      S03,110    S04,0      S04        S03,11     S04,100    S04,10     S04,10     S04,1     
2053: S01,11     S00,11     S00,111    S04,00     S03,00     S04,0      S03,010    S04,0      S03,0      S03,01     S04        S03,0      S03,10     S03        S03,1     
3053: S04,101    S03,101    S03,1101   S01,111    S00,111    S01,1111   S00,1111   S01,1111   S00,1111   S00,11111  S01,11111  S00,1111   S00,11111  S00,11111  S00,111111
5053: S04,11     S03,11     S03,111    S01,0111   S00,0111   S01,111    S00,01111  S01,01111  S00,111    S00,1111   S01,1111   S00,01111  S00,011111 S00,1111   S00,11111 
0153: S00,01     S02,1      S02,11     S03,00     S06,0      S03,0      S06,10     S03,100    S06        S06,1      S03,10     S06,10     S06,110    S06,1      S06,11    
