Entropy extraction table for possibly-biased dice rolls.

* Start in state S00
* Roll 1 die 4 times (the same die every time), but treat 4 as 3.
* Find the row with those 4 rolls on the left in the column with your current state
* Go to the new state listed there, and output the bits listed after the comma (if any)
* Repeat

Produces 2.722 bits of entropy per 4 rolls if the die is unbiased.

      S00:       S01:       S02:       S03:       S04:       S05:       S06:       S07:       S08:       S09:       S10:       S11:       S12:       S13:       S14:
2120: S00,111    S01,101    S01,11     S03,001    S04,000    S05,001    S04,00     S03,01     S08,000    S08,00     S05,01     S04,00     S04,0      S08,00     S08,0     
3120: S03,1011   S04,1001   S04,101    S00,1111   S01,1011   S00,11111  S01,111    S00,11111  S01,11011  S01,1111   S00,111111 S01,11011  S01,1111   S01,111011 S01,11111 
5120: S05,1011   S08,1001   S08,101    S00,01111  S01,01011  S00,1111   S01,0111   S00,011111 S01,1011   S01,111    S00,11111  S01,011011 S01,01111  S01,11011  S01,1111  
0220: S00,01     S01,01     S01,101    S03        S04        S05        S04,1      S03,1      S08        S08,1      S05,1      S04,1      S04,11     S08,1      S08,11    
1220: S00,011    S01,001    S01,01     S03,1      S04,0      S05,1      S04        S03,11     S08,0      S08        S05,11     S04,10     S04,1      S08,10     S08,1     
2220: S01,1      S00,1      S00,11     S04,0      S03,0      S08,0      S03,01     S04        S05,0      S05,01     S08        S03        S03,1      S05        S05,1     
3220: S04,11     S03,11     S03,111    S01,1011   S00,1011   S01,11011  S00,10111  S01,111    S00,11011  S00,110111 S01,1111   S00,111    S00,1111   S00,1111   S00,11111 
5220: S08,11     S05,11     S05,111    S01,01011  S00,01011  S01,1011   S00,010111 S01,0111   S00,1011   S00,10111  S01,111    S00,0111   S00,01111  S00,111    S00,1111  
0320: S03,001    S04,001    S04,1001   S00,011    S01,011    S00,0111   S01,1011   S00,1011   S01,0111   S01,10111  S00,10111  S01,1011   S01,11011  S01,10111  S01,110111
1320: S03,0011   S04,0001   S04,001    S00,0111   S01,0011   S00,01111  S01,011    S00,10111  S01,00111  S01,0111   S00,101111 S01,10011  S01,1011   S01,100111 S01,10111 
2320: S04,01     S03,01     S03,011    S01,0011   S00,0011   S01,00111  S00,00111  S01,011    S00,00111  S00,001111 S01,0111   S00,011    S00,0111   S00,0111   S00,01111 
3320: S01,1      S00,1      S00,11     S04,0      S03,0      S04,10     S03,01     S04        S03,10     S03,101    S04,1      S03        S03,1      S03,1      S03,11    
